,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family,AgeClass,Title_Master,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rare
0,3,1,2.0,0,0,0,2,0,6.0,0,0,0,0,1,0,0,0
1,3,0,2.0,1,0,0,0,1,6.0,0,0,0,0,0,1,0,0
2,2,1,3.0,0,0,1,2,0,6.0,0,0,0,0,1,0,0,0
3,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
4,3,0,1.0,1,1,1,0,2,3.0,0,0,0,0,0,1,0,0
5,3,1,0.0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0
6,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
7,2,1,1.0,1,1,2,0,2,2.0,0,0,0,0,1,0,0,0
8,3,0,1.0,0,0,0,1,0,3.0,0,0,0,0,0,1,0,0
9,3,1,1.0,2,0,2,0,2,3.0,0,0,0,0,1,0,0,0
10,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
11,1,1,2.0,0,0,2,0,0,2.0,0,0,0,0,1,0,0,0
12,1,0,1.0,1,0,3,0,1,1.0,0,0,0,0,0,1,0,0
13,2,1,3.0,1,0,2,0,1,6.0,0,0,0,0,1,0,0,0
14,1,0,2.0,1,0,3,0,1,2.0,0,0,0,0,0,1,0,0
15,2,0,1.0,1,0,2,1,1,2.0,0,0,0,0,0,0,0,0
16,2,1,2.0,0,0,1,2,0,4.0,0,0,0,0,1,0,0,0
17,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
18,3,0,1.0,1,0,1,0,1,3.0,0,1,0,0,0,0,0,0
19,3,0,2.0,0,0,0,1,0,6.0,0,0,0,0,0,0,0,0
20,1,1,3.0,1,0,3,1,1,3.0,0,0,0,0,1,0,0,0
21,3,1,0.0,0,1,0,0,1,0.0,1,0,0,0,0,0,0,0
22,1,0,1.0,0,0,3,0,0,1.0,0,0,0,0,0,1,0,0
23,1,1,1.0,0,1,3,1,1,1.0,0,0,0,0,1,0,0,0
24,1,0,2.0,1,3,3,1,4,2.0,0,0,0,0,0,1,0,0
25,3,1,3.0,1,0,2,0,1,9.0,0,0,0,0,1,0,0,0
26,1,0,1.0,0,1,3,1,1,1.0,0,1,0,0,0,0,0,0
27,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
28,1,1,2.0,0,0,2,0,0,2.0,0,0,0,0,1,0,0,0
29,3,1,1.0,2,0,2,1,2,3.0,0,0,0,0,1,0,0,0
30,2,1,3.0,1,0,2,0,1,6.0,0,0,0,0,1,0,0,0
31,2,1,1.0,2,0,3,0,2,2.0,0,0,0,0,1,0,0,0
32,3,0,2.0,1,2,2,0,3,6.0,0,0,0,0,0,1,0,0
33,3,0,1.0,1,2,2,0,3,3.0,0,0,0,0,0,1,0,0
34,1,1,1.0,1,0,3,1,1,1.0,0,0,0,0,1,0,0,0
35,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
36,3,0,1.0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0
37,3,0,1.0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0
38,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
39,3,1,1.0,0,0,3,0,0,3.0,0,0,0,0,1,0,0,0
40,3,1,2.0,0,1,1,1,1,6.0,0,0,0,0,1,0,0,0
41,1,1,1.0,0,0,2,0,0,1.0,0,0,0,0,1,0,0,0
42,3,1,2.0,0,0,0,0,0,6.0,0,0,0,0,1,0,0,0
43,2,0,1.0,0,0,1,0,0,2.0,0,0,0,0,0,1,0,0
44,1,0,2.0,1,0,3,0,1,2.0,0,0,0,0,0,1,0,0
45,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
46,1,1,2.0,0,0,2,1,0,2.0,0,0,0,0,1,0,0,0
47,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
48,1,0,3.0,0,0,3,1,0,3.0,0,0,0,0,0,1,0,0
49,3,0,2.0,0,2,2,0,2,6.0,0,0,0,0,0,1,0,0
50,1,1,1.0,1,0,3,0,1,1.0,0,0,0,0,1,0,0,0
51,2,1,1.0,0,0,2,1,0,2.0,0,0,0,0,1,0,0,0
52,2,0,1.0,2,1,2,0,3,2.0,0,1,0,0,0,0,0,0
53,1,0,1.0,3,2,3,0,5,1.0,0,1,0,0,0,0,0,0
54,2,1,1.0,0,0,2,1,0,2.0,0,0,0,0,1,0,0,0
55,3,1,0.0,4,1,2,2,5,0.0,1,0,0,0,0,0,0,0
56,3,1,2.0,0,0,0,0,0,6.0,0,0,0,0,1,0,0,0
57,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
58,3,1,1.0,1,0,2,0,1,3.0,0,0,0,0,1,0,0,0
59,1,0,2.0,0,0,3,1,0,2.0,0,1,0,0,0,0,0,0
60,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
61,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
62,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
63,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
64,1,1,0.0,2,2,3,1,4,0.0,1,0,0,0,0,0,0,0
65,2,0,1.0,0,0,2,0,0,2.0,0,0,0,0,0,1,0,0
66,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
67,1,1,2.0,0,0,3,0,0,2.0,0,0,0,0,1,0,0,0
68,1,1,1.0,0,0,2,1,0,1.0,0,0,0,0,1,0,0,0
69,1,0,3.0,1,4,3,0,5,3.0,0,0,0,0,0,1,0,0
70,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
71,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
72,3,0,1.0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0
73,1,1,1.0,0,0,2,1,0,1.0,0,0,0,0,0,0,0,0
74,1,0,2.0,0,0,3,1,0,2.0,0,1,0,0,0,0,0,0
75,1,1,2.0,0,0,3,1,0,2.0,0,0,0,0,1,0,0,0
76,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
77,1,0,3.0,2,0,2,0,2,3.0,0,0,0,0,0,1,0,0
78,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
79,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
80,3,1,0.0,1,1,2,1,2,0.0,1,0,0,0,0,0,0,0
81,1,1,4.0,1,0,3,0,1,4.0,0,0,0,0,1,0,0,0
82,1,1,3.0,0,0,2,0,0,3.0,0,0,0,0,1,0,0,0
83,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
84,2,1,1.0,0,0,1,2,0,2.0,0,0,0,0,1,0,0,0
85,3,1,1.0,1,0,2,1,1,3.0,0,0,0,0,1,0,0,0
86,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
87,3,0,1.0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0
88,3,0,1.0,0,0,0,2,0,3.0,0,0,0,0,0,0,1,0
89,2,1,0.0,1,1,2,0,2,0.0,1,0,0,0,0,0,0,0
90,3,0,1.0,1,0,1,0,1,3.0,0,0,0,0,0,1,0,0
91,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
92,1,0,1.0,1,2,3,0,3,1.0,0,0,0,0,0,1,0,0
93,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
94,1,1,1.0,0,0,2,1,0,1.0,0,0,0,0,1,0,0,0
95,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
96,1,0,4.0,1,0,3,0,1,4.0,0,0,0,0,0,1,0,0
97,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
98,3,0,1.0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0
99,3,1,2.0,0,0,1,0,0,6.0,0,0,0,0,1,0,0,0
100,1,0,2.0,1,0,3,1,1,2.0,0,0,0,0,0,1,0,0
101,2,1,1.0,1,0,2,0,1,2.0,0,0,0,0,1,0,0,0
102,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
103,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0
104,3,0,0.0,1,1,1,1,2,0.0,0,0,0,0,0,1,0,0
105,3,1,1.0,0,0,2,0,0,3.0,0,0,0,0,1,0,0,0
106,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
107,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
108,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
109,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
110,2,1,2.0,0,0,2,1,0,4.0,0,0,0,0,1,0,0,0
111,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
112,1,0,2.0,0,0,3,1,0,2.0,0,1,0,0,0,0,0,0
113,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
114,1,0,3.0,1,0,3,0,1,3.0,0,0,0,0,0,1,0,0
115,3,1,1.0,1,0,2,1,1,3.0,0,0,0,0,1,0,0,0
116,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
117,3,0,0.0,1,1,2,0,2,0.0,0,1,0,0,0,0,0,0
118,1,1,2.0,0,0,3,1,0,2.0,0,0,0,0,1,0,0,0
119,2,0,1.0,1,0,2,0,1,2.0,0,0,0,0,0,1,0,0
120,2,0,0.0,0,0,2,0,0,0.0,0,1,0,0,0,0,0,0
121,3,1,1.0,1,0,0,2,1,3.0,0,0,0,0,1,0,0,0
122,1,0,2.0,1,0,3,1,1,2.0,0,0,0,0,0,1,0,0
123,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
124,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
125,3,0,1.0,0,1,2,0,1,3.0,0,1,0,0,0,0,0,0
126,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
127,3,0,1.0,2,0,2,2,2,3.0,0,1,0,0,0,0,0,0
128,2,1,2.0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0
129,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
130,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
131,1,1,3.0,0,0,2,1,0,3.0,0,0,0,0,0,0,0,1
132,3,0,1.0,0,4,2,0,4,3.0,0,0,0,0,0,1,0,0
133,3,1,1.0,1,0,0,1,1,3.0,0,0,0,0,1,0,0,0
134,3,1,2.0,0,0,0,0,0,6.0,0,0,0,0,1,0,0,0
135,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
136,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
137,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
138,3,0,1.0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0
139,3,1,2.0,1,6,3,0,7,6.0,0,0,0,0,1,0,0,0
140,3,0,0.0,5,2,3,0,7,0.0,0,1,0,0,0,0,0,0
141,1,0,2.0,0,0,3,0,0,2.0,0,1,0,0,0,0,0,0
142,1,1,3.0,1,3,3,1,4,3.0,0,0,0,0,1,0,0,0
143,2,1,1.0,0,0,2,0,0,2.0,0,0,0,0,1,0,0,0
144,1,1,2.0,0,0,2,0,0,2.0,0,0,0,0,1,0,0,0
145,3,1,1.0,3,0,2,0,3,3.0,0,0,0,0,0,0,0,0
146,1,1,1.0,0,0,3,0,0,1.0,0,0,0,0,1,0,0,0
147,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
148,1,1,1.0,0,0,2,0,0,1.0,0,0,0,0,1,0,0,0
149,2,1,1.0,1,1,2,0,2,2.0,0,0,0,0,0,0,0,1
150,1,0,1.0,0,1,3,1,1,1.0,0,0,0,0,0,1,0,0
151,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
152,3,1,3.0,0,0,2,0,0,9.0,0,0,0,0,1,0,0,0
153,3,0,2.0,0,2,1,0,2,6.0,0,0,0,0,0,1,0,0
154,3,1,0.0,4,2,3,0,6,0.0,1,0,0,0,0,0,0,0
155,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
156,1,0,1.0,0,0,3,0,0,1.0,0,1,0,0,0,0,0,0
157,3,0,1.0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0
158,1,1,2.0,0,0,2,0,0,2.0,0,0,0,0,1,0,0,0
159,3,0,1.0,0,2,1,0,2,3.0,0,0,0,0,0,1,0,0
160,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
161,3,1,0.0,1,1,2,1,2,0.0,1,0,0,0,0,0,0,0
162,2,0,1.0,0,0,1,0,0,2.0,0,1,0,0,0,0,0,0
163,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
164,2,1,2.0,0,0,1,0,0,4.0,0,0,0,0,0,0,0,1
165,3,0,1.0,1,1,2,0,2,3.0,0,0,0,0,0,1,0,0
166,1,1,2.0,0,0,3,1,0,2.0,0,0,0,0,1,0,0,0
167,3,1,1.0,2,2,3,0,4,3.0,0,0,0,0,1,0,0,0
168,1,0,1.0,0,0,2,1,0,1.0,0,0,0,0,0,1,0,0
169,3,0,1.0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0
170,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
171,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
172,3,1,1.0,1,0,1,0,1,3.0,0,0,0,0,1,0,0,0
173,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
174,3,1,2.0,1,5,3,0,6,6.0,0,0,0,0,1,0,0,0
175,2,0,0.0,0,2,3,0,2,0.0,0,1,0,0,0,0,0,0
176,2,0,1.0,0,0,3,0,0,2.0,0,1,0,0,0,0,0,0
177,1,1,3.0,1,0,3,1,1,3.0,0,0,0,0,1,0,0,0
178,2,0,2.0,0,3,3,0,3,4.0,0,0,0,0,0,1,0,0
179,1,0,3.0,0,2,3,1,2,3.0,0,0,0,0,0,1,0,0
180,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
181,1,1,2.0,1,1,3,1,2,2.0,0,0,0,0,1,0,0,0
182,1,0,1.0,1,0,3,0,1,1.0,0,0,0,0,0,1,0,0
183,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
184,1,0,1.0,1,1,3,1,2,1.0,0,0,0,0,0,1,0,0
185,2,1,2.0,0,0,2,0,0,4.0,0,0,0,0,1,0,0,0
186,2,0,1.0,0,1,2,0,1,2.0,0,1,0,0,0,0,0,0
187,3,1,1.0,2,0,1,0,2,3.0,0,0,0,0,1,0,0,0
188,3,0,1.0,8,2,3,0,10,3.0,0,1,0,0,0,0,0,0
189,2,1,2.0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0
190,2,1,2.0,1,0,2,0,1,4.0,0,0,0,0,1,0,0,0
191,1,1,1.0,0,0,2,0,0,1.0,0,0,0,0,1,0,0,0
192,3,1,0.0,1,1,2,0,2,0.0,0,0,0,0,0,0,0,0
193,2,1,3.0,0,0,1,2,0,6.0,0,0,0,0,1,0,0,0
194,2,1,0.0,0,2,3,0,2,0.0,1,0,0,0,0,0,0,0
195,3,1,2.0,0,0,0,0,0,6.0,0,0,0,0,1,0,0,0
196,1,1,0.0,0,2,3,1,2,0.0,1,0,0,0,0,0,0,0
197,3,0,1.0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0
198,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
199,3,0,1.0,0,0,1,0,0,3.0,0,0,0,0,0,1,0,0
200,3,0,1.0,0,0,2,2,0,3.0,0,1,0,0,0,0,0,0
201,3,1,0.0,0,2,1,0,2,0.0,1,0,0,0,0,0,0,0
202,1,1,2.0,1,0,3,1,1,2.0,0,0,0,0,0,0,0,1
203,2,0,0.0,1,1,2,0,2,0.0,0,1,0,0,0,0,0,0
204,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
205,1,1,1.0,0,0,2,1,0,1.0,0,0,0,0,1,0,0,0
206,3,0,2.0,0,0,0,2,0,6.0,0,1,0,0,0,0,0,0
207,2,1,1.0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0
208,1,0,2.0,0,0,2,1,0,2.0,0,1,0,0,0,0,0,0
209,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
210,3,1,1.0,0,0,2,0,0,3.0,0,0,0,0,1,0,0,0
211,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
212,2,1,1.0,0,0,3,0,0,2.0,0,0,0,0,1,0,0,0
213,2,0,3.0,1,0,2,0,1,6.0,0,0,0,0,0,1,0,0
214,3,0,2.0,4,2,0,0,6,6.0,0,1,0,0,0,0,0,0
215,1,1,2.0,0,0,3,0,0,2.0,0,0,0,0,1,0,0,0
216,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
217,1,1,3.0,1,1,3,0,2,3.0,0,0,0,0,1,0,0,0
218,1,0,3.0,1,1,3,1,2,3.0,0,0,0,0,0,1,0,0
219,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
220,2,0,1.0,1,0,1,1,1,2.0,0,0,0,0,0,0,0,0
221,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
222,2,0,1.0,0,0,1,0,0,2.0,0,0,0,0,0,1,0,0
223,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
224,1,0,3.0,0,0,2,1,0,3.0,0,0,0,0,0,1,0,0
225,3,0,1.0,0,2,2,1,2,3.0,0,0,0,0,0,1,0,0
226,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
227,3,0,1.0,0,0,0,2,0,3.0,0,1,0,0,0,0,0,0
228,3,1,2.0,0,0,2,0,0,6.0,0,0,0,0,1,0,0,0
229,2,1,2.0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0
230,2,1,0.0,0,0,3,0,0,0.0,0,0,0,0,1,0,0,0
231,1,0,1.0,0,0,2,0,0,1.0,0,1,0,0,0,0,0,0
232,3,1,1.0,1,0,0,0,1,3.0,0,0,0,0,1,0,0,0
233,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
234,1,1,2.0,1,0,3,1,1,2.0,0,0,0,0,1,0,0,0
235,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
236,1,1,3.0,1,0,3,1,1,3.0,0,0,0,0,1,0,0,0
237,3,1,1.0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,0
238,2,0,1.0,1,1,1,0,2,2.0,0,1,0,0,0,0,0,0
239,1,0,2.0,1,0,3,1,1,2.0,0,0,0,0,0,1,0,0
240,1,0,3.0,0,0,2,1,0,3.0,0,0,0,0,0,1,0,0
241,2,0,2.0,0,2,2,0,2,4.0,0,0,0,0,0,1,0,0
242,1,1,2.0,1,1,3,1,2,2.0,0,0,0,0,1,0,0,0
243,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
244,3,1,1.0,1,2,2,0,3,3.0,1,0,0,0,0,0,0,0
245,1,1,2.0,1,0,3,0,1,2.0,0,0,0,0,1,0,0,0
246,2,0,1.0,0,0,2,0,0,2.0,0,0,0,0,0,1,0,0
247,2,1,2.0,1,1,3,0,2,4.0,0,0,0,0,1,0,0,0
248,2,0,1.0,1,0,2,0,1,2.0,0,0,0,0,0,1,0,0
249,3,0,1.0,1,0,2,1,1,3.0,0,0,0,0,0,1,0,0
250,2,0,0.0,1,2,2,0,3,0.0,0,1,0,0,0,0,0,0
251,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
252,1,1,1.0,1,0,3,1,1,1.0,0,0,0,0,1,0,0,0
253,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
254,3,1,2.0,0,0,1,0,0,6.0,0,0,0,0,1,0,0,0
255,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
256,3,1,1.0,0,0,0,2,0,3.0,0,0,0,0,1,0,0,0
257,3,1,1.0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0
258,2,0,1.0,0,0,1,0,0,2.0,0,1,0,0,0,0,0,0
259,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
260,3,1,2.0,1,0,2,0,1,6.0,0,0,0,0,0,0,0,0
261,3,1,1.0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0
262,2,0,1.0,0,2,2,0,2,2.0,0,0,0,0,0,1,0,0
263,3,0,0.0,1,1,1,0,2,0.0,0,1,0,0,0,0,0,0
